Date,IDX,Market,Product,sr_cnt_pf,sr_bug_cnt,sr_hwr_cnt_pf,sr_init_sev_1_2_cnt_pf,sr_esc_cnt_pf
11/1/2016,1,Computing Systems,Mr_Clean,4816,501,1731,339,60
12/1/2016,2,Computing Systems,Mr_Clean,4524,482,1611,328,69
1/1/2017,3,Computing Systems,Mr_Clean,4763,494,1706,320,49
2/1/2017,4,Computing Systems,Mr_Clean,4693,507,1628,347,59
3/1/2017,5,Computing Systems,Mr_Clean,5383,560,1813,376,87
4/1/2017,6,Computing Systems,Mr_Clean,4536,482,1561,333,70
5/1/2017,7,Computing Systems,Mr_Clean,4859,474,1619,397,84
6/1/2017,8,Computing Systems,Mr_Clean,4816,463,1606,370,71
7/1/2017,9,Computing Systems,Mr_Clean,4558,446,1562,321,84
8/1/2017,10,Computing Systems,Mr_Clean,4861,404,1683,325,75
9/1/2017,11,Computing Systems,Mr_Clean,4319,371,1449,325,65
10/1/2017,12,Computing Systems,Mr_Clean,4741,404,1577,332,79
11/1/2017,13,Computing Systems,Mr_Clean,4674,417,1590,315,76
12/1/2017,14,Computing Systems,Mr_Clean,4173,398,1343,298,68
1/1/2018,15,Computing Systems,Mr_Clean,4711,482,1482,292,48
2/1/2018,16,Computing Systems,Mr_Clean,4308,391,1389,291,53
3/1/2018,17,Computing Systems,Mr_Clean,4689,367,1428,327,50
4/1/2018,18,Computing Systems,Mr_Clean,4592,390,1366,346,51
5/1/2018,19,Computing Systems,Mr_Clean,4618,415,1381,344,57
6/1/2018,20,Computing Systems,Mr_Clean,4859,415,1569,319,55
7/1/2018,21,Computing Systems,Mr_Clean,4885,373,1646,295,58
8/1/2018,22,Computing Systems,Mr_Clean,5026,374,1693,337,64
9/1/2018,23,Computing Systems,Mr_Clean,4402,316,1482,290,56
10/1/2018,24,Computing Systems,Mr_Clean,5225,367,1887,351,66
11/1/2018,25,Computing Systems,Mr_Clean,4552,291,1636,298,47
11/1/2016,1,Computing Systems,Windex,3701,315,1424,324,75
12/1/2016,2,Computing Systems,Windex,3439,236,1237,280,61
1/1/2017,3,Computing Systems,Windex,3378,252,1340,244,62
2/1/2017,4,Computing Systems,Windex,3538,299,1325,256,79
3/1/2017,5,Computing Systems,Windex,3994,296,1416,328,89
4/1/2017,6,Computing Systems,Windex,3518,283,1236,283,108
5/1/2017,7,Computing Systems,Windex,3959,265,1502,329,84
6/1/2017,8,Computing Systems,Windex,3851,296,1413,315,100
